기준연도,구분,,값(%)
2022,전 생애 한국여행 경험,전 생애 한국여행 경험,5.4%
2023,전 생애 한국여행 경험,전 생애 한국여행 경험,3.8%
2024,전 생애 한국여행 경험,전 생애 한국여행 경험,7.0%
2022,해외여행 목적지로서 한국 인지도(긍정 응답 비율),해외여행 목적지로서 한국 인지도<br>(긍정 응답 비율),13.0%
2023,해외여행 목적지로서 한국 인지도(긍정 응답 비율),해외여행 목적지로서 한국 인지도<br>(긍정 응답 비율),14.1%
2024,해외여행 목적지로서 한국 인지도(긍정 응답 비율),해외여행 목적지로서 한국 인지도<br>(긍정 응답 비율),21.7%
2022,해외여행 목적지로서 한국 선호도(긍정 응답 비율),해외여행 목적지로서 한국 선호도<br>(긍정 응답 비율),16.9%
2023,해외여행 목적지로서 한국 선호도(긍정 응답 비율),해외여행 목적지로서 한국 선호도<br>(긍정 응답 비율),19.3%
2024,해외여행 목적지로서 한국 선호도(긍정 응답 비율),해외여행 목적지로서 한국 선호도<br>(긍정 응답 비율),31.9%
2022,향후 3년 내 한국 방문 의향(긍정 응답 비율_ 해외여행 의향자 기준),향후 3년 내 한국 방문 의향<br>(긍정 응답 비율_ 해외여행 의향자 기준),9.1%
2023,향후 3년 내 한국 방문 의향(긍정 응답 비율_ 해외여행 의향자 기준),향후 3년 내 한국 방문 의향<br>(긍정 응답 비율_ 해외여행 의향자 기준),19.1%
2024,향후 3년 내 한국 방문 의향(긍정 응답 비율_ 해외여행 의향자 기준),향후 3년 내 한국 방문 의향<br>(긍정 응답 비율_ 해외여행 의향자 기준),20.8%
